test_name,rRMSE,pde_loss,bc_loss,ic_loss,total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
burgers_2d_88,0.1346295326948166,0.0001411083503626287,1.912525658553932e-05,8.807456651993562e-06,0.0001690410717856139,942.5863885879517,5,98,swish,97125,21,0.0002882830633668
burgers_2d_89,1.2224408388137817,0.09125351905822754,0.3731500506401062,0.6794244050979614,1.1438279151916504,1156.2135405540466,7,85,sin,95140,70,0.0062157390930427
burgers_2d_90,0.27192527055740356,0.002869316143915057,0.0002850685559678823,0.00178061134647578,0.004934995900839567,443.2074325084686,3,38,tanh,92142,183,0.0204924269905378
burgers_2d_91,0.36449551582336426,0.006429434288293123,5.5304484703810886e-05,0.00912945345044136,0.015614192001521587,2371.3386838436127,6,58,sigmoid,92170,155,0.0058413865758129
burgers_2d_92,0.4917666018009186,0.04097432270646095,0.0019347346387803555,0.06210612133145332,0.10501517355442047,218.51714062690735,2,92,swish,55052,28,0.0276394343143325
burgers_2d_93,0.4537467360496521,0.044820744544267654,0.0001962803362403065,0.053135428577661514,0.09815245866775513,379.0484182834625,2,46,sin,90629,178,0.0432544305725531
burgers_2d_94,0.14828835427761078,0.009283285588026047,7.755707338219509e-05,0.010054388083517551,0.019415229558944702,299.68318915367126,3,57,sigmoid,63277,136,0.0003433824479834
burgers_2d_95,0.23800477385520935,0.0031681000255048275,4.041129159304546e-06,0.0036065818276256323,0.00677872309461236,2079.260899782181,9,49,swish,93665,75,4.490674664195928e-05
burgers_2d_96,0.8126219511032104,0.09431282430887222,0.06889165937900543,0.32523757219314575,0.488442063331604,563.3362448215485,7,87,sin,47786,114,0.0081446480481069
burgers_2d_97,0.18472042679786682,2.759875678748358e-05,2.447800216032192e-05,8.076529411482625e-06,6.0153288359288126e-05,425.18758153915405,7,43,tanh,43316,53,0.0005049574319779
burgers_2d_98,0.15579836070537567,4.294021437090123e-06,1.3267035114949977e-07,8.310692578561429e-07,5.257761131360894e-06,611.9444265365601,9,42,swish,37409,13,0.0001646611721093
burgers_2d_99,0.09463310986757278,0.002931075869128108,1.245210205524927e-05,0.0023398487828671932,0.005283376667648554,253.14630150794983,6,33,sigmoid,21364,143,0.0004149853301518
burgers_2d_100,0.1194598376750946,0.00043981647468172014,1.2074638107151259e-06,0.0003803152940236032,0.0008213391993194818,794.1889209747314,6,94,sigmoid,92871,19,5.6766766073784e-05
burgers_2d_101,0.6503266096115112,0.05043966323137283,0.0005031572072766721,0.12631696462631226,0.17725978791713715,85.27578473091125,10,98,relu,6939,91,0.0012890903580547
burgers_2d_102,0.27664098143577576,0.0010434860596433282,5.475638317875564e-06,0.0007750092772766948,0.0018239709315821528,989.3427159786224,6,89,tanh,72989,130,0.0009223134507952
burgers_2d_103,0.5884111523628235,0.00027992873219773173,4.3898122385144234e-05,0.00016957533080130816,0.0004934021853841841,45.85714268684387,4,99,sigmoid,7526,21,0.0220107259525239
burgers_2d_104,0.08715729415416718,0.00023544376017525792,1.2104006827939884e-06,0.00016736255201976746,0.00040401669684797525,847.7322154045105,7,27,sigmoid,91799,25,0.0001750323443615
burgers_2d_105,0.06148461997509003,0.002182641066610813,1.7022200609062565e-06,0.0037492066621780396,0.00593355018645525,648.2420556545258,4,87,sigmoid,77574,143,0.0001389213366146
burgers_2d_106,0.13856101036071777,0.000212376588024199,1.0521500826143892e-06,0.00040964834624901414,0.000623077095951885,367.0854871273041,4,60,sigmoid,54341,74,0.003832765278711
burgers_2d_107,0.6505091786384583,0.05414823442697525,0.002423301339149475,0.1265365183353424,0.18310806155204773,154.437481880188,8,27,relu,17826,114,0.0009425511413502
burgers_2d_108,1.0002104043960571,0.0,0.00031774258241057396,0.49682557582855225,0.49714332818984985,278.59785199165344,5,43,tanh,39997,150,0.081795420855408
burgers_2d_109,0.14185331761837006,8.684955537319183e-05,4.010719862890255e-07,6.905836198711768e-05,0.00015630898997187614,290.80444502830505,5,67,tanh,41143,62,0.0001860633327428
burgers_2d_110,0.1008831262588501,0.0042129093781113625,8.246446668636054e-06,0.004493033047765493,0.008714188821613789,506.25379157066345,3,97,swish,83753,47,4.068509479441373e-05
burgers_2d_111,0.1817038506269455,0.000424895784817636,0.00010618370288284495,0.0009687783312983811,0.0014998577535152435,1241.3049561977386,3,88,swish,87374,164,0.0047262838270719
burgers_2d_112,0.3142915368080139,0.00015158686437644064,5.232861326476268e-07,0.00011466201249277219,0.0002667721710167825,952.8701455593109,9,24,sin,82803,132,0.0018645792272851
burgers_2d_113,1.0000044107437134,0.0,6.499116807390237e-06,0.4966699481010437,0.4966764450073242,514.6263535022736,8,45,tanh,44769,150,0.0513658070230152
burgers_2d_114,0.29814693331718445,0.0007972312159836292,1.255542088074435e-06,0.002687900559976697,0.0034863874316215515,471.8159809112549,7,39,swish,37453,22,1.6532282832946588e-05
burgers_2d_115,0.08391249924898148,0.00015640641504433006,2.064962700387696e-06,7.642853597644717e-05,0.00023489991144742817,773.2334525585175,10,43,sigmoid,34776,139,0.0012583261575445
burgers_2d_116,0.10731910169124603,0.00018967367941513658,3.253691147619975e-07,0.00034431740641593933,0.0005343164666555822,333.6045651435852,4,73,tanh,53083,92,0.0002187095771771
burgers_2d_117,0.16244396567344666,2.4403540010098368e-05,2.824715465976624e-07,9.134900210483465e-06,3.382091017556377e-05,1133.0675039291382,9,38,sigmoid,94078,33,0.0003345920022171
burgers_2d_118,0.691307544708252,0.0008152744267135859,0.04228954017162323,0.13608436286449432,0.17918917536735535,725.0760955810547,6,88,swish,56729,89,0.0026995202152994
burgers_2d_119,0.061123915016651154,0.0020392476581037045,1.298602182941977e-05,0.0017183346208184958,0.0037705684080719948,346.58595418930054,3,18,tanh,63822,165,0.0027880249987375
burgers_2d_120,0.43219926953315735,0.03950382396578789,0.0002860717650037259,0.04982947185635567,0.08961936831474304,58.54167151451111,3,5,swish,10607,109,0.0169669427171841
burgers_2d_121,0.30518391728401184,0.0022417278960347176,5.4936394008109346e-05,0.0013646997977048159,0.003661364084109664,598.6169939041138,5,74,tanh,48352,135,0.003549916656813
burgers_2d_122,0.0567060187458992,6.893793033668771e-05,1.2270251090740203e-06,3.7863523175474256e-05,0.00010802847828017548,1016.8376834392548,8,29,tanh,97646,39,1.7749238140374566e-05
burgers_2d_123,0.2310238480567932,0.00037853099638596177,3.2708546768844826e-06,0.0008106966270133853,0.0011924984864890575,561.2104742527008,6,46,sigmoid,58130,163,0.0021898275472564
burgers_2d_124,0.10368159413337708,2.4743943868088536e-05,1.0908028343692422e-05,8.652443284518085e-06,4.430441913427785e-05,334.12291073799133,7,34,swish,26862,35,0.0008953375182418
burgers_2d_125,0.035539984703063965,6.057394784875214e-05,3.217730295546062e-07,4.592852928908542e-05,0.00010682424908736721,770.5400562286377,10,18,sin,61593,150,0.0001128996684211
burgers_2d_126,0.5155979990959167,0.04781762510538101,0.009517676196992397,0.09532209485769272,0.1526573896408081,235.36758542060852,9,34,sigmoid,20383,97,2.3209070555289964e-05
burgers_2d_127,0.647600531578064,0.05530238151550293,0.0019858740270137787,0.12393486499786377,0.18122312426567078,584.9518435001373,7,96,relu,70489,64,0.0113038894241885
burgers_2d_128,0.6504111886024475,0.05347082391381264,0.004267733544111252,0.1254020780324936,0.18314063549041748,858.5250296592712,8,72,relu,88768,24,0.0014018252707188
burgers_2d_129,0.6475772857666016,0.05356449633836746,0.003799536731094122,0.12700963020324707,0.1843736618757248,833.8593230247498,8,39,relu,91876,31,0.0235737549317862
burgers_2d_130,0.6519359350204468,0.05523815006017685,0.0037046940997242928,0.1317509263753891,0.19069376587867737,405.1951551437378,4,64,relu,75673,173,6.874173810743468e-05
burgers_2d_131,0.6284970641136169,0.03773406520485878,0.009092739783227444,0.12403389066457748,0.17086069285869598,269.62214612960815,3,55,sigmoid,45501,193,1.0221323289319891e-05
burgers_2d_132,0.6501542925834656,0.054501622915267944,0.0027494628448039293,0.1281026005744934,0.18535368144512177,287.2406086921692,3,17,relu,65027,104,0.0001756502565461
burgers_2d_133,0.40895605087280273,0.0004298421845305711,2.599582148832269e-05,4.302088564145379e-05,0.000498858920764178,664.952446937561,6,91,tanh,67034,89,0.0004993398194729
burgers_2d_134,0.06804730743169785,2.3255692212842405e-05,3.115959543720237e-07,1.7201193259097636e-05,4.076848199474625e-05,444.8970537185669,6,61,swish,26666,141,0.002475960757684
burgers_2d_135,0.6160016059875488,0.06215523183345795,0.0036514559760689735,0.09437147527933121,0.16017815470695496,267.5599637031555,2,26,sin,74328,44,1.70991301975733e-05
burgers_2d_136,0.18496613204479218,0.0009120602044276893,6.114820280345157e-05,0.0005860499222762883,0.0015592583222314715,1365.2250769138336,9,66,sigmoid,79164,134,0.0007143783059752
burgers_2d_137,1.0,0.0,1.1102230246251565e-16,0.4972067177295685,0.4972067177295685,3633.2660439014435,5,73,swish,97718,179,0.0363594735115982
burgers_2d_138,0.2044420689344406,5.722951755160466e-06,4.748986157210311e-06,3.6129856084698986e-07,1.0833236956386827e-05,593.402601480484,5,89,swish,62392,11,0.0003316234742418
burgers_2d_139,0.30742722749710083,0.022665509954094887,0.0010717574041336775,0.03073560632765293,0.054472871124744415,128.91506147384644,10,37,sin,10081,106,0.002262029728816
