pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde2,28,512,128,32,535695,1000,0.0075322589241260795,0.0038036658979374756,430.5303997993469,42
pde2,29,512,32,96,373039,1000,0.004441369550374824,0.0019720017331693145,391.63879776000977,42
pde2,30,512,128,128,560271,1000,0.0054471679412103945,0.0026271264839676355,390.31173062324524,42
pde2,31,768,128,48,901007,1000,0.006932984270839029,0.00347936412667341,578.8190505504608,42
pde2,32,256,32,48,164399,1000,0.0049430319427724535,0.0021021204094086618,278.44475769996643,42
pde2,33,512,128,64,543887,1000,0.006703504317072758,0.0026281431875086548,387.236230134964,42
pde2,34,512,32,32,368943,1000,0.00737727755201191,0.003039111389352877,417.8085181713104,42
pde2,35,768,128,32,896911,1000,0.005856744886222106,0.0026107632070725057,540.8638458251953,42
pde2,36,768,32,64,707631,1000,0.013660836716736853,0.005841679726216724,489.76794052124023,42
pde2,37,768,64,80,767311,1000,0.008489039127980725,0.003179006790253446,497.5171711444855,42
pde2,38,128,16,16,94751,1000,0.009201241801464723,0.003967977446959999,322.52667927742004,42
pde2,39,512,16,112,350879,1000,0.008595061525628679,0.0038178595915674776,395.04004859924316,42
pde2,40,512,64,32,416335,1000,0.007991560516011126,0.004183172243224464,461.26865577697754,42
pde2,41,256,32,112,168495,1000,0.008166832714794568,0.003372417808565639,280.3946843147278,42
pde2,42,128,16,128,98335,1000,0.009991421787608562,0.0037938686180338196,268.5694577693939,42
pde2,43,768,32,48,706607,1000,0.007707314706716225,0.002981987646355398,596.8285994529724,42
pde2,44,256,64,96,210767,1000,0.003044571285683299,0.0014056014301248214,319.40802526474,42
pde2,45,512,64,48,418383,1000,0.009059973933994587,0.004281875393718327,379.47306060791016,42
pde2,46,256,32,64,165423,1000,0.0014099455416167678,0.0006730607265711811,336.03787446022034,42
pde2,47,128,128,80,251919,1000,0.001961245633865738,0.0009923057982448448,286.32533979415894,42
pde3,0,512,128,80,547983,1000,0.0002557249937089583,,1175.044542312622,42
pde3,1,256,64,16,200527,1000,0.00030643970723310686,,768.1589667797089,42
pde3,2,256,32,16,162351,1000,0.00047323333116979757,,630.5867683887482,42
pde3,3,256,64,112,212815,1000,0.0002481065593394955,,745.412712097168,42
pde3,4,128,64,48,146895,1000,0.00025100984222597034,,654.8438580036163,42
pde3,5,256,32,128,169519,1000,0.00022627734753233406,,711.3198401927948,42
pde3,6,768,64,32,761167,1000,0.0003295685270771679,,1336.564033985138,42
pde3,7,512,128,64,543887,1000,0.00020057868616547896,,1122.5462491512299,42
pde3,8,512,64,80,422479,1000,0.00022621429567650918,,1060.5881552696228,42
pde3,9,256,16,80,148383,1000,0.0002920012770178366,,733.6879200935364,42
pde3,10,512,64,112,426575,1000,0.00024387626250607845,,1088.94868850708,42
pde3,11,128,128,32,239631,1000,0.00033709734286351716,,723.9275593757629,42
pde3,12,256,128,80,317839,1000,0.0003012029746594217,,942.4128510951996,42
pde3,13,768,64,16,759119,1000,0.0003083425116419423,,1307.3361585140228,42
pde3,14,512,16,96,350367,1000,0.00044145170016280673,,904.4645471572876,42
pde3,15,256,16,96,148895,1000,0.0004161956496732944,,701.4172563552856,42
pde3,16,512,64,48,418383,1000,0.0002953500949738572,,929.4061954021454,42
pde3,17,512,32,32,368943,1000,0.00024154921531510104,,1006.1664836406708,42
pde3,18,256,64,64,206671,1000,0.0002086261651895057,,772.8251554965973,42
pde3,19,768,32,64,707631,1000,0.00026473317590404113,,1422.5774941444397,42
pde3,20,512,16,48,348831,1000,0.00032583849280756516,,896.9150712490082,42
pde3,21,128,64,112,155087,1000,0.0002114727588633488,,661.9442203044891,42
pde3,22,128,16,128,98335,1000,0.00031283561257634633,,650.4800577163696,42
pde3,23,128,32,128,115887,1000,0.00028437157497932495,,634.8076639175415,42
pde3,24,128,128,80,251919,1000,0.00018755477073938338,,711.2623314857483,42
pde3,25,768,64,64,765263,1000,0.0002109572383104383,,1375.374487400055,42
pde3,26,512,128,96,552079,1000,0.00021345643367305168,,1161.9619784355164,42
